Project Name,Package Name,Architecture Smell,Cause of the Smell
spring-cloud-alibaba,com.alibaba.cloud.examples,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
spring-cloud-alibaba,com.alibaba.cloud.examples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NacosConfigApplication]; [ConsumerApplication]; [TestController]; [ConsumerSCLBApplication]; [RandomLoadBalancer]; [TestController]; [EchoController]; [ProviderApplication; ProviderApplication]; [GetConfigController]; [SpringCloudConfigClientApplication]; [SpringCloudConfigServerApplication]; [ConsumerReactiveApplication]; [MyController]; [WebClientConfiguration]; [GatewayApplication]; [EchoController]; [RocketMQComprehensiveApplication]; [User]; [AccountApplication]; [AccountController]; [DatabaseConfiguration]; [BusinessApplication]; [BusinessApplication.StorageService]; [BusinessApplication.OrderService]; [HomeController]; [Order; OrderController]; [DatabaseConfiguration]; [Order]; [OrderApplication]; [StorageApplication]; [FeignCircuitBreakerApplication]; [ExceptionUtil]; [JsonFlowRuleListConverter]; [ServiceApplication]; [TestController]; [WebMvcConfiguration]; [OpenFeignApplication]; [RestTemplateApplication; RestTemplateApplicationTest]; [MySCGConfiguration]; [RulesWebFluxController]; [SentinelSpringCloudGatewayApplication]; [MyConfiguration]; [SentinelWebFluxApplication]; [SentinelWebFluxController]. LCC (Lack of Component Cohesion) = 0.94
spring-cloud-alibaba,com.alibaba.cloud.examples.configuration,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FeignConfiguration]; [RestTemplateConfiguration]; [UrlCleaner]; [EchoServiceFallbackFactory; HttpbinClientFallback; HttpbinClient]; [SentinelRulesConfiguration]; [RestTemplateConfiguration]; [SentinelRulesConfiguration]. LCC (Lack of Component Cohesion) = 0.78
spring-cloud-alibaba,com.alibaba.cloud.examples.feign,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EchoClient; EchoClientFallback; EchoClientFallback]; [EchoClient]; [OrderClient; OrderClientFallBack]; [UserClient; UserClientFallBack]. LCC (Lack of Component Cohesion) = 0.5
spring-cloud-alibaba,com.alibaba.cloud.examples.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FeignConfiguration]; [MyLoadBalancerConfiguration]; [MySCLBConfiguration]; [RestTemplateConfiguration]; [UrlCleaner]; [DatabaseConfiguration]. LCC (Lack of Component Cohesion) = 1.0
spring-cloud-alibaba,com.alibaba.cloud.sidecar,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DemoApplication; DemoApplication]; [CustomHealthCheckHandler; SidecarInstanceInfo; SidecarAutoConfiguration; SidecarDiscoveryClient; SidecarHealthChecker; SidecarHealthIndicator; SidecarProperties]. LCC (Lack of Component Cohesion) = 0.22
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.config,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alibaba.cloud.sentinel.datasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.factorybean,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApolloDataSourceFactoryBean]; [ConsulDataSourceFactoryBean]; [FileRefreshableDataSourceFactoryBean]; [NacosDataSourceFactoryBean]; [RedisDataSourceFactoryBean]; [ZookeeperDataSourceFactoryBean]. LCC (Lack of Component Cohesion) = 1.0
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RuleType; DataSourcePropertiesConfigurationTests; DataSourcePropertiesTests; NacosDataSourcePropertiesTests; RuleTypeTests]; [ApolloDataSourceFactoryBeanTests]; [FileRefreshableDataSourceFactoryBeanTests]; [FileRefreshableDataSourceFactoryBeanTests.TestConfig]; [NacosDataSourceFactoryBeanTests]; [SentinelConverterTests]; [ZookeeperDataSourceFactoryBeanTests]. LCC (Lack of Component Cohesion) = 0.64
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.sentinel.datasource; com.alibaba.cloud.sentinel.datasource.config; com.alibaba.cloud.sentinel.datasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel.gateway,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigConstants]; [FallbackProperties]; [GatewayEnvironmentPostProcessor]; [SentinelGatewayAutoConfiguration]; [SentinelGatewayAutoConfiguration.SentinelConverterConfiguration]; [SentinelGatewayAutoConfiguration.ApiPredicateItemDeserializer]; [SentinelGatewayAutoConfiguration.SentinelJsonConfiguration]; [SentinelGatewayAutoConfiguration.SentinelXmlConfiguration]. LCC (Lack of Component Cohesion) = 1.0
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CircuitBreakerRuleChangeListener; FeignClientCircuitNameResolver; SentinelFeignClientProperties]; [SentinelFeignClientAutoConfiguration]; [SentinelFeignClientAutoConfiguration.CircuitBreakerListenerConfiguration]; [SentinelFeignClientAutoConfiguration.CircuitBreakerNameResolverConfiguration]; [SentinelFeignClientAutoConfiguration.SentinelCustomizerConfiguration]; [SentinelFeignClientAutoConfiguration.ReactiveSentinelCustomizerConfiguration]; [FeignClientCircuitBreakerRuleIntegrationTest]; [FeignClientCircuitBreakerRuleIntegrationTest.Application]; [FeignClientCircuitBreakerRuleIntegrationTest.UserClient]; [FeignClientCircuitBreakerRuleIntegrationTest.OrderClient]; [FeignClientCircuitBreakerRuleIntegrationTest.UserClientFallback]; [FeignClientCircuitBreakerRuleIntegrationTest.OrderClientFallback]; [FeignClientCircuitBreakerRuleIntegrationTest.TestController]. LCC (Lack of Component Cohesion) = 0.87
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReactiveSentinelCircuitBreaker; ReactiveSentinelCircuitBreakerTest; ReactiveSentinelCircuitBreakerAutoConfiguration; ReactiveSentinelCircuitBreakerFactory; SentinelConfigBuilder; SentinelCircuitBreakerAutoConfiguration; SentinelCircuitBreakerFactory; SentinelCircuitBreaker; SentinelCircuitBreakerTest]; [SentinelConfigBuilder.SentinelCircuitBreakerConfiguration]; [ReactiveSentinelCircuitBreakerIntegrationTest]; [ReactiveSentinelCircuitBreakerIntegrationTest.Application]; [ReactiveSentinelCircuitBreakerIntegrationTest.DemoControllerService]; [SentinelCircuitBreakerIntegrationTest]; [SentinelCircuitBreakerIntegrationTest.Application]; [SentinelCircuitBreakerIntegrationTest.DemoControllerService]. LCC (Lack of Component Cohesion) = 0.5
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigPreference; NacosConfigDataLoader; NacosConfigDataResource; NacosConfigDataLocationResolverTest; NacosConfigDataLocationResolver]; [NacosConfigDataMissingEnvironmentPostProcessor; NacosConfigDataMissingEnvironmentPostProcessorTest]; [NacosConfigDataMissingEnvironmentPostProcessor.ImportExceptionFailureAnalyzer]; [NacosConfigDataResource.NacosItemConfig]. LCC (Lack of Component Cohesion) = 0.44
spring-cloud-alibaba,com.alibaba.cloud.nacos.endpoint,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NacosConfigEndpoint; NacosConfigEndpointAutoConfiguration; NacosConfigHealthIndicator; NacosConfigEndpointTests]; [NacosConfigEndpointTests.TestConfig]; [NacosDiscoveryEndpoint; NacosDiscoveryEndpointAutoConfiguration]. LCC (Lack of Component Cohesion) = 0.43
spring-cloud-alibaba,com.alibaba.cloud.nacos,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
spring-cloud-alibaba,com.alibaba.cloud.nacos,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alibaba.cloud.nacos.refresh; com.alibaba.cloud.nacos.client; com.alibaba.cloud.nacos.endpoint; com.alibaba.cloud.nacos.util; com.alibaba.cloud.nacos.discovery
spring-cloud-alibaba,com.alibaba.cloud.nacos,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NacosConfigAutoConfiguration; NacosConfigManager; NacosConfigProperties; NacosPropertySourceRepository; NacosConfigAutoConfigurationTest; NacosConfigPropertiesServerAddressBothLevelTests; NacosConfigPropertiesServerAddressTopLevelTests; NacosConfigurationExtConfigTests; NacosConfigurationNewTest; NacosConfigurationNoSuffixTest; NacosConfigurationTests; NacosConfigurationXmlJsonTest; NacosConfigBootstrapConfiguration]; [NacosConfigProperties.Config]; [NacosConfigAutoConfigurationTest.Config]; [NacosConfigPropertiesServerAddressBothLevelTests.TestConfig]; [NacosConfigPropertiesServerAddressTopLevelTests.TestConfig]; [NacosConfigurationExtConfigTests.TestConfig]; [NacosConfigurationNewTest.TestConfig]; [NacosConfigurationNoSuffixTest.TestConfig]; [NacosConfigurationTests.TestConfig]; [NacosConfigurationXmlJsonTest.TestConfig]; [NacosFileExtensionTest]; [NacosFileExtensionTest.TestConfig]; [SmartConfigurationPropertiesRebinderIntegrationTest]; [SmartConfigurationPropertiesRebinderIntegrationTest.RebinderConfiguration]; [NacosDiscoveryProperties; NacosServiceManager; NacosDiscoveryPropertiesServerAddressBothLevelTests; NacosDiscoveryPropertiesServerAddressTopLevelTests; NacosServiceAutoConfiguration]; [NacosServiceInstance; NacosDiscoveryClientTests]; [NacosDiscoveryPropertiesServerAddressBothLevelTests.TestConfig]; [NacosDiscoveryPropertiesServerAddressTopLevelTests.TestConfig]. LCC (Lack of Component Cohesion) = 0.51
spring-cloud-alibaba,com.alibaba.cloud.nacos,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.alibaba.cloud.nacos.endpoint; com.alibaba.cloud.nacos.refresh.
spring-cloud-alibaba,com.alibaba.cloud.nacos,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.nacos; com.alibaba.cloud.nacos.refresh; com.alibaba.cloud.nacos
spring-cloud-alibaba,com.alibaba.cloud.nacos,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.nacos; com.alibaba.cloud.nacos.client; com.alibaba.cloud.nacos
spring-cloud-alibaba,com.alibaba.cloud.nacos,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.nacos; com.alibaba.cloud.nacos.endpoint; com.alibaba.cloud.nacos
spring-cloud-alibaba,com.alibaba.cloud.nacos,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.nacos; com.alibaba.cloud.nacos.discovery; com.alibaba.cloud.nacos
spring-cloud-alibaba,com.alibaba.cloud.nacos.parser,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractPropertySourceLoader; NacosJsonPropertySourceLoader; NacosXmlPropertySourceLoader; NacosJsonPropertySourceLoaderTests]; [NacosByteArrayResource; NacosDataParserHandler; NacosDataParserHandler.ParserHandler]. LCC (Lack of Component Cohesion) = 0.29
spring-cloud-alibaba,com.alibaba.cloud.nacos.balancer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alibaba.cloud.nacos.loadbalancer
spring-cloud-alibaba,com.alibaba.cloud.nacos.balancer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.nacos.balancer; com.alibaba.cloud.nacos.loadbalancer; com.alibaba.cloud.nacos.balancer
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NacosDiscoveryAutoConfiguration; NacosServiceDiscovery; NacosDiscoveryAutoConfigurationTests; NacosServiceDiscoveryTest; NacosDiscoveryClient; ServiceCache; NacosDiscoveryClientConfiguration; NacosWatch; NacosDiscoveryClientConfigurationTest]; [NacosDiscoveryHeartBeatConfiguration; NacosDiscoveryHeartBeatPublisher; NacosDiscoveryHeartBeatConfigurationTest]; [NacosDiscoveryHeartBeatConfiguration.NacosDiscoveryHeartBeatCondition]; [NacosDiscoveryHeartBeatConfiguration.GatewayLocatorHeartBeatEnabled]; [NacosDiscoveryHeartBeatConfiguration.SpringBootAdminHeartBeatEnabled]; [NacosDiscoveryHeartBeatConfiguration.NacosDiscoveryHeartBeatEnabled]. LCC (Lack of Component Cohesion) = 0.38
