Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
spring-cloud-alibaba,com.alibaba.cloud.integration.gateway.config,GatewayConfig,initGatewayRules,Magic Number,The method contains a magic number: 5,73
spring-cloud-alibaba,com.alibaba.cloud.integration.gateway.config,GatewayConfig,initBlockHandlers,Long Statement,The length of the statement "return ServerResponse.status(HttpStatus.OK).contentType(MediaType.APPLICATION_JSON_UTF8).body(BodyInserters.fromObject("此接口被限流了"));" is 131.,89
spring-cloud-alibaba,com.alibaba.cloud.integration.gateway.config,GatewayConfig,handleRequest,Long Statement,The length of the statement "return ServerResponse.status(HttpStatus.OK).contentType(MediaType.APPLICATION_JSON_UTF8).body(BodyInserters.fromObject("此接口被限流了"));" is 131.,92
spring-cloud-alibaba,com.alibaba.cloud.integration.order.entity,Order,toString,Long Statement,The length of the statement "return "Order{" + "id=" + id + "` userId='"+ userId+ '\''+ "` commodityCode='"+ commodityCode+ '\''+ "` count="+ count+ "` money="+ money+ "` createTime="+ createTime+ "` updateTime="+ updateTime+ '}';" is 201.,96
spring-cloud-alibaba,com.alibaba.cloud.integration.order.service.impl,OrderServiceImpl,createOrder,Magic Number,The method contains a magic number: 2,57
spring-cloud-alibaba,com.alibaba.cloud.examples.example,DockingInterfaceExample,getConfig,Magic Number,The method contains a magic number: 2000,54
spring-cloud-alibaba,com.alibaba.cloud.examples.example,ValueAnnotationExample,getConfigInfo,Magic Number,The method contains a magic number: 4,50
spring-cloud-alibaba,com.alibaba.cloud.examples,RandomLoadBalancer,RandomLoadBalancer,Long Identifier,The length of the parameter serviceInstanceListSupplierProvider is 35.,46
spring-cloud-alibaba,com.alibaba.cloud.examples,RandomLoadBalancer,RandomLoadBalancer,Long Identifier,The length of the field serviceInstanceListSupplierProvider is 35.,46
spring-cloud-alibaba,com.alibaba.cloud.examples,RandomLoadBalancer,choose,Long Identifier,The length of the field serviceInstanceListSupplierProvider is 35.,54
