Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
spring-cloud-alibaba,com.alibaba.cloud.examples.example,ConfigListenerExample,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DATA_ID; GROUP
spring-cloud-alibaba,com.alibaba.cloud.examples.example,DockingInterfaceExample,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_GROUP
spring-cloud-alibaba,com.alibaba.cloud.examples.orderly,RocketMQOrderlyConsumeApplication,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: tags
spring-cloud-alibaba,com.alibaba.cloud.examples.sql,RocketMQSqlConsumeApplication,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: color; price
spring-cloud-alibaba,com.alibaba.cloud.commons.io,Charsets,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ISO_8859_1; US_ASCII; UTF_16; UTF_16BE; UTF_16LE; UTF_8
spring-cloud-alibaba,com.alibaba.cloud.commons.io,IOUtils,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.commons.io.StringBuilderWriter
spring-cloud-alibaba,com.alibaba.cloud.commons.io,IOUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EOF
spring-cloud-alibaba,com.alibaba.cloud.commons.lang,StringUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY; INDEX_NOT_FOUND
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ApolloDataSourceFactoryBeanTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties; com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties
