Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
spring-cloud-alibaba,com.alibaba.cloud.integration.account,AccountServiceApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.account.controller,AccountController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.account.service.impl,AccountServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.common,BusinessException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.common,ResultEnum,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: code; message
spring-cloud-alibaba,com.alibaba.cloud.integration.frontend.controller,IntegrationController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.frontend,FrontendApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.gateway.config,GatewayConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.gateway,GatewayApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.order.controller,OrderController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.order,OrderServiceApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spring-cloud-alibaba,com.alibaba.cloud.integration.order.service.impl,OrderServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
