Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
spring-cloud-alibaba,com.alibaba.cloud.examples,RestTemplateApplicationTest,runWithSpringAotModeAfterProcessAot,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ApolloDataSourceFactoryBeanTests,testApolloFactoryBean,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesConfigurationTests,testGetValidField,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testApollo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testZK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileDefaultValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileCustomValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourceFactoryBeanTests,testNacosFactoryBeanServerAddr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourceFactoryBeanTests,testNacosFactoryBeanProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourcePropertiesTests,testNacosWithAddr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourcePropertiesTests,testNacosWithProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,RuleTypeTests,testGetByName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,RuleTypeTests,testGetByClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,SentinelConverterTests,testJsonConverter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,SentinelConverterTests,testXmlConverter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ZookeeperDataSourceFactoryBeanTests,testZKWithoutPathFactoryBean,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ZookeeperDataSourceFactoryBeanTests,testZKWithPathFactoryBean,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testDefaultRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testSpecificFeignRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testSpecificFeignMethodRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerTest,testCreateWithNullRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerIntegrationTest,testSlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testCreateDirectlyThenRun,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testCreateWithNullRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testRunWithFallback,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testIsResolvable_givenCorrectPrefix_thenReturnTure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testStartWithASlashIsOK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,whenCustomizeSuffix_thenOverrideDefault,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testUrisInLocationShouldOverridesProperty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testSetCommonPropertiesIsOK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testCommonPropertiesHasLowerPriority,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,whenNoneInBootstrapContext_thenCreateNewConfigClientProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
spring-cloud-alibaba,com.alibaba.cloud.nacos.endpoint,NacosConfigEndpointTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigAutoConfigurationTest,noImports_thenCreateProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigAutoConfigurationTest,imports_thenNoCreateProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationExtConfigTests,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationNewTest,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationNoSuffixTest,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationTests,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationXmlJsonTest,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosFileExtensionTest,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
spring-cloud-alibaba,com.alibaba.cloud.nacos,SmartConfigurationPropertiesRebinderIntegrationTest,testUsingSmartConfigurationPropertiesRebinder_whenBehaviorIsNotDefault,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos.parser,NacosJsonPropertySourceLoaderTests,testJsonPropWithComment,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosDiscoveryAutoConfigurationTests,testDefaultInitialization,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosDiscoveryClientConfigurationTest,testDefaultInitialization,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosDiscoveryClientConfigurationTest,testDiscoveryBlockingDisabled,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosServiceDiscoveryTest,testGetInstances,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosServiceDiscoveryTest,testGetServices,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testGetInstances,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testGetServices,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testGetInstancesFailureToleranceEnabled,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testGetInstancesFailureToleranceDisabled,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testFailureToleranceEnabled,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testFailureToleranceDisabled,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testCacheIsOK,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery.reactive,NacosReactiveDiscoveryClientTests,testCacheIsOK,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationIpNetworkInterfaceTests,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationIpTests,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationManagementPortTests,contextLoads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
